question_id,question_type,question,rank,answer,job_id,job_title,chunk_id,source_url,crawl_time,data_origin,faiss_score,is_relevant
Q01,基础查询,想找同时要求 Python 和 SQL 的远程数据分析岗位。,1,"Lead Python Engineer：Strong shell scripting skills in UNIX/Linux environments and comfort working with command-line tooling. Solid grounding in mathematical and statistical concepts and the ability to translate them into code. Hands-on experience with the Python data and ML ecosystem, including NumPy, Pandas, SciPy, Scikit-Learn, TensorFlo",e8a5e6aeb604b232070c3de1,Lead Python Engineer,e8a5e6aeb604b232070c3de1::requirements::c0000,https://himalayas.app/companies/bright-vision-technologies/jobs/lead-python-engineer-3718654503,2026-09-08T12:59:22.529788+00:00,authorized_api_collection,0.630184,1
Q01,基础查询,想找同时要求 Python 和 SQL 的远程数据分析岗位。,2,"Python Developer (Mid-Level / Senior)：mais de 30 anos de experiência e 2.800 colaboradores distribuídos em 28 países, ajudamos organizações a ir além da transformação, construindo empresas adaptáveis, resilientes e em constante evolução. A IA não transforma negócios. A inteligência arquitetada transforma. Vem fazer parte do Time Keyrus ! Para mais informaç",636f50b580aa164e4114eccc,Python Developer (Mid-Level / Senior),636f50b580aa164e4114eccc::job_combined::c0007,https://himalayas.app/companies/keyrus/jobs/python-developer-mid-level-senior-8817187115,2026-09-08T12:43:10.312836+00:00,authorized_api_collection,0.624867,0
Q01,基础查询,想找同时要求 Python 和 SQL 的远程数据分析岗位。,3,"Desenvolvedor(a) Python Sênior：ia com automação de workloads utilizando Control-M ou Autosys ; Conhecimentos de Cloud: GCP, AWS ou Azure ; Experiência com Docker e/ou Kubernetes ; Conhecimentos de scripting com PowerShell ou Bash . Modelo de atuação Projeto internacional Atuação inicialmente 100% remota Disponibilidade obrigatória para futura mudanç",188cee8008f6a7c80c57a35d,Desenvolvedor(a) Python Sênior,188cee8008f6a7c80c57a35d::job_combined::c0002,https://himalayas.app/companies/grupo-data/jobs/desenvolvedor-a-python-senior,2026-09-08T13:01:15.474784+00:00,authorized_api_collection,0.624497,0
Q02,细节查询,需要会 AWS、Docker 和 Kubernetes 的远程 DevOps 或云平台岗位。,1,"Nearshore Sector| AWS Platform Engineer：ro-trust network policies. CI/CD & Automation: Develop and optimize end-to-end deployment pipelines (GitHub Actions, GitLab CI, Jenkins) and create custom automation scripts using Python, Bash, or Go. Observability & SRE: Implement and maintain robust logging, monitoring, and alerting systems (CloudWatch, Prometheus, V",1c982009bd0777fa30b4d6b9,Nearshore Sector| AWS Platform Engineer,1c982009bd0777fa30b4d6b9::responsibilities::c0001,https://himalayas.app/companies/devoteam/jobs/nearshore-sector-aws-platform-engineer,2026-09-08T13:22:51.069472+00:00,authorized_api_collection,0.674935,1
Q02,细节查询,需要会 AWS、Docker 和 Kubernetes 的远程 DevOps 或云平台岗位。,2,"AWS DevOps Engineer：n mindset Nice to have Service mesh experience (Istio, Envoy) Database schema migration tools (e.g. Liquibase) Artifact management (Nexus, ECR) Scripting (Bash, Node.js) API management platforms (e.g. Apigee) GitOps practices, Internal Developer Platforms (IDPs) Agile/Scrum experience ​​​​​​​ All our positions are Remo",adf988c70b1aaf5fb0281c11,AWS DevOps Engineer,adf988c70b1aaf5fb0281c11::responsibilities::c0001,https://himalayas.app/companies/productiv-team/jobs/aws-devops-engineer,2026-09-08T13:09:25.460122+00:00,authorized_api_collection,0.673391,1
Q02,细节查询,需要会 AWS、Docker 和 Kubernetes 的远程 DevOps 或云平台岗位。,3,"AWS Cloud Engineer：AWS Certified Solutions Architect – Professional or DevOps Engineer – Professional certification. Experience with multi-account AWS Organizations and centralized governance. Familiarity with service mesh, eBPF-based observability, and zero-trust networking. Exposure to FinOps practices and well-architected cost-optimiz",131895d07cbf4e8036f97ffc,AWS Cloud Engineer,131895d07cbf4e8036f97ffc::requirements::c0000,https://himalayas.app/companies/bright-vision-technologies/jobs/aws-cloud-engineer-1013280895,2026-09-08T13:06:26.622122+00:00,authorized_api_collection,0.661666,0
Q03,基础查询,寻找 React 和 TypeScript 技术栈的远程前端开发岗位。,1,"Full Stack React Developer：ts look to us to provide them with exceptionally talented consultants who can help them accelerate their delivery. Our team has been specializing in remote-based software consulting for over 12 years. Our goal is to build an exceptionally talented group of technologists who enjoy shipping high-quality code, working tog",8a784e38e57ea379148becc8,Full Stack React Developer,8a784e38e57ea379148becc8::requirements::c0001,https://himalayas.app/companies/prodev/jobs/full-stack-react-developer,2026-09-08T12:42:41.371069+00:00,authorized_api_collection,0.611114,0
Q03,基础查询,寻找 React 和 TypeScript 技术栈的远程前端开发岗位。,2,"Developer SSR Full Stack React - Node (Next.JS - Nest.JS)：⭐ ¡ Codea IT sigue creciendo! 🚀 Somos una empresa líder de desarrollo en América. Llevamos adelante la transformación digital de nuestros clientes gracias a los mejores talentos de LATAM que conforman nuestro equipo, trabajando remotamente en tecnologías modernas y proyectos desafiantes. Buscamos Full Stack SSR Node-Re",34f534fc4e51bd75f3cf776f,Developer SSR Full Stack React - Node (Next.JS - Nest.JS),34f534fc4e51bd75f3cf776f::job_combined::c0000,https://himalayas.app/companies/codea-it/jobs/developer-ssr-full-stack-react-node-next-js-nest-js,2026-09-08T13:25:28.261154+00:00,authorized_api_collection,0.608047,0
Q03,基础查询,寻找 React 和 TypeScript 技术栈的远程前端开发岗位。,3,Senior Typescript Developer (f/m/d)：about why you’re excited about this role and what makes Sidestream appealing to you. You can also include links to projects you’ve worked on to give us an impression of your skills and contributions. Originally posted on Himalayas,5f427e75564aa66a8c25a055,Senior Typescript Developer (f/m/d),5f427e75564aa66a8c25a055::requirements::c0001,https://himalayas.app/companies/sidestream/jobs/senior-typescript-developer-f-m-d-2844198937,2026-09-08T12:47:09.567897+00:00,authorized_api_collection,0.604316,0
Q04,细节查询,想找需要 Excel 和 Tableau 的商业分析或业务分析岗位。,1,Tableau CRM Business Analyst：Major Skill sets: 1) Tableau CRM 2)Requirement Analysis 3) POC 4) Result reporting 5) Client Communication 6) Salesforce admin certified - optional (knowledge will work)﻿ Location : Remote; it would be good if the resource could travel to Brillio's office (Anywhere) for 1 to 2 days a month Originally posted on Himalaya,41dc971c86011e30d9c32c37,Tableau CRM Business Analyst,41dc971c86011e30d9c32c37::job_combined::c0000,https://himalayas.app/companies/pradeepit-consulting-services-pvt-ltd/jobs/tableau-crm-business-analyst,2026-09-08T12:46:59.034317+00:00,authorized_api_collection,0.679285,0
